类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
美食,浦东新区,1,7.2,7.2,7.2,582,上海市,121.8083982,30.98595778
海鲜,浦东新区,0,0,0,0,582,上海市,121.8080957,30.91082577
美食,浦东新区,2,7.5,7.5,7.5,582,上海市,121.8078357,30.9634901
美食,浦东新区,1,7.2,7.2,7.2,582,上海市,121.8078357,30.9634901
快餐,浦东新区,0,0,0,0,580,上海市,121.8078399,30.90079922
浙菜,浦东新区,41,7.1,6.8,7.1,580,上海市,121.8072333,31.09560615
湾菜,浦东新区,1,6.9,6.9,6.9,579,上海市,121.8071,31.09471841
烧烤,浦东新区,5,7.3,7.1,7.3,579,上海市,121.8067782,31.0949857
浙菜,浦东新区,22,7.2,7.2,7.1,579,上海市,121.8065756,30.90291174
湾菜,浦东新区,0,0,0,0,579,上海市,121.8058008,31.09523483
助餐,浦东新区,0,0,0,0,579,上海市,121.8055939,30.90746133
粤菜,浦东新区,320,6.2,6.7,6.3,579,上海市,121.8054532,31.15322869
湘菜,浦东新区,235,7.4,7.3,7.2,578,上海市,121.8054532,31.15322869
湾菜,浦东新区,597,7.7,8.4,8.3,578,上海市,121.8054532,31.15322869
快餐,浦东新区,384,8.1,8.1,7.9,575,上海市,121.8054532,31.15322869
快餐,浦东新区,58,7.6,7.6,7.5,575,上海市,121.8054532,31.15322869
快餐,浦东新区,163,7.3,7.3,7.3,574,上海市,121.8054532,31.15322869
快餐,浦东新区,177,6.7,6.9,6.8,574,上海市,121.8054532,31.15322869
快餐,浦东新区,299,7,7.3,7,573,上海市,121.8054532,31.15322869
快餐,浦东新区,361,6.9,6.9,6.9,572,上海市,121.8054532,31.15322869
本菜,浦东新区,974,6.1,6,5.4,572,上海市,121.8054532,31.15322869
料理,浦东新区,6,6.9,6.9,6.9,570,上海市,121.8054532,31.15322869
啡厅,浦东新区,339,7.8,7.5,7.5,570,上海市,121.8054532,31.15322869
甜点,浦东新区,81,7.7,7.5,7.8,569,上海市,121.8054532,31.15322869
美食,浦东新区,53,6.6,6.7,6.2,565,上海市,121.8054532,31.15322869
美食,浦东新区,7,7,7,6.5,564,上海市,121.8054532,31.15322869
啡厅,浦东新区,339,7.8,7.5,7.5,564,上海市,121.8054532,31.15322869
啡厅,浦东新区,117,7.1,7.4,7.2,564,上海市,121.8054532,31.15322869
啡厅,浦东新区,67,7,7,6.8,563,上海市,121.8054532,31.15322869
啡厅,浦东新区,40,6.5,6.6,6.5,563,上海市,121.8054532,31.15322869
粤菜,浦东新区,320,6.2,6.7,6.3,562,上海市,121.8054532,31.15322869
浙菜,浦东新区,6,7.5,7.5,7.5,562,上海市,121.8046233,31.15157411
川菜,浦东新区,6,7.6,7.2,7.3,562,上海市,121.8046233,31.15157411
粤菜,浦东新区,273,6.3,6.6,5.9,559,上海市,121.8046233,31.15157411
料理,浦东新区,87,6.7,6.9,6.8,556,上海市,121.8046233,31.15157411
西餐,浦东新区,170,6.3,6.5,6.4,556,上海市,121.8046233,31.15157411
啡厅,浦东新区,269,7.8,7.5,7.4,556,上海市,121.8046233,31.15157411
啡厅,浦东新区,63,7.5,7.4,7.4,556,上海市,121.8046233,31.15157411
甜点,浦东新区,42,7.6,7.6,7.3,556,上海市,121.8046233,31.15157411
啡厅,浦东新区,269,7.8,7.5,7.4,556,上海市,121.8046233,31.15157411
啡厅,浦东新区,63,7.5,7.4,7.4,552,上海市,121.8046233,31.15157411
啡厅,浦东新区,155,7.3,7.5,7.3,552,上海市,121.8046233,31.15157411
啡厅,浦东新区,16,6.7,7,7,552,上海市,121.8046233,31.15157411
甜点,浦东新区,42,7.6,7.6,7.3,551,上海市,121.8046233,31.15157411
甜点,浦东新区,42,7.6,7.6,7.3,551,上海市,121.8046233,31.15157411
快餐,浦东新区,1148,7.4,7.4,7.1,551,上海市,121.8038403,31.15363467
粤菜,浦东新区,46,6.1,7.1,6.5,551,上海市,121.8038343,31.15363665
粤菜,浦东新区,0,0,0,0,551,上海市,121.8038343,31.15363665
快餐,浦东新区,39,7.6,7.4,7.3,549,上海市,121.8038343,31.15363665
西餐,浦东新区,29,6.8,7.1,6.9,549,上海市,121.8038343,31.15363665
啡厅,浦东新区,448,8.1,7.8,7.6,549,上海市,121.8038343,31.15363665
啡厅,浦东新区,32,7.4,7.2,7.3,548,上海市,121.8038343,31.15363665
啡厅,浦东新区,448,8.1,7.8,7.6,548,上海市,121.8038343,31.15363665
啡厅,浦东新区,48,7.2,7.1,7.1,548,上海市,121.8038343,31.15363665
啡厅,浦东新区,32,7.4,7.2,7.3,548,上海市,121.8038343,31.15363665
啡厅,浦东新区,141,7.4,7.5,7.4,547,上海市,121.8038343,31.15363665
啡厅,浦东新区,19,6.8,6.8,6.7,547,上海市,121.8038343,31.15363665
啡厅,浦东新区,48,7.2,7.1,7.1,547,上海市,121.8038343,31.15363665
快餐,浦东新区,2,7,7,7,547,上海市,121.8038403,30.91262323
快餐,浦东新区,1,7,7,7,547,上海市,121.8036598,30.86521566
龙虾,浦东新区,0,0,0,0,547,上海市,121.8034043,30.91264647
西餐,浦东新区,14,7.9,8,7.9,546,上海市,121.8032748,31.14293036
西餐,浦东新区,4,6.4,6.8,6.5,546,上海市,121.8032748,31.14293036
啡厅,浦东新区,23,7.2,7.3,7.3,544,上海市,121.8032748,31.14293036
湘菜,闸北区,0,0,0,0,542,上海市,121.803146,31.02904718
快餐,闸北区,1,7.2,6.8,6.8,542,上海市,121.803146,31.02904718
甜点,闸北区,4,7.7,7.7,7.7,542,上海市,121.803146,31.02904718
甜点,闸北区,2,7.2,7.2,7.2,540,上海市,121.803146,31.02904718
甜点,闸北区,0,0,0,0,540,上海市,121.803146,31.02904718
快餐,闸北区,0,0,0,0,539,上海市,121.803146,31.02904718
甜点,闸北区,2,7.2,7.2,7.2,538,上海市,121.803146,31.02904718
快餐,宝山区,4,7,6.8,6.9,537,上海市,121.8029998,31.05119505
快餐,宝山区,0,0,0,0,537,上海市,121.8029998,31.05119505
啡厅,浦东新区,18,6.5,6.6,6.4,537,上海市,121.8025314,31.15134562
啡厅,浦东新区,18,6.5,6.6,6.4,536,上海市,121.8025314,31.15134562
快餐,浦东新区,167,7.5,7.5,7.5,536,上海市,121.80201,31.15267703
快餐,浦东新区,18,7,7.1,6.8,536,上海市,121.8015019,31.16452798
浙菜,浦东新区,49,6.6,6.9,6.5,536,上海市,121.7998761,31.15184388
湾菜,浦东新区,0,0,0,0,536,上海市,121.7994583,31.15065782
浙菜,浦东新区,453,5.8,6.2,5.3,534,上海市,121.7991615,31.15246937
粤菜,浦东新区,248,6.1,6.6,6.4,533,上海市,121.7991615,31.15246937
粤菜,浦东新区,4,6.9,6.9,6.9,530,上海市,121.7991615,31.15246937
快餐,浦东新区,85,7.3,7.5,7.1,530,上海市,121.7991615,31.15246937
啡厅,浦东新区,65,7.5,7.7,7.4,528,上海市,121.7991615,31.15246937
西餐,浦东新区,48,7.2,7.2,6.9,528,上海市,121.7991615,31.15246937
西餐,浦东新区,2,6.9,6.6,6.6,528,上海市,121.7991615,31.15246937
甜点,浦东新区,34,7.4,7.6,7.5,528,上海市,121.7991615,31.15246937
甜点,浦东新区,83,6.8,6.8,6.7,528,上海市,121.7991615,31.15246937
美食,浦东新区,75,7.4,7.4,7.1,528,上海市,121.7991615,31.15246937
啡厅,浦东新区,65,7.5,7.7,7.4,528,上海市,121.7991615,31.15246937
啡厅,浦东新区,13,7.1,7.4,7.2,527,上海市,121.7991615,31.15246937
快餐,浦东新区,85,7.3,7.5,7.1,527,上海市,121.7991615,31.15246937
甜点,浦东新区,34,7.4,7.6,7.5,525,上海市,121.7991615,31.15246937
甜点,浦东新区,117,6.3,6.6,6.4,525,上海市,121.7991615,31.15246937
甜点,浦东新区,117,6.3,6.6,6.4,525,上海市,121.7991615,31.15246937
粤菜,浦东新区,0,0,0,0,525,上海市,121.7987875,30.90095358
美食,奉贤区,13,7.7,7.7,7.3,524,上海市,121.7986613,31.15211274
其他,,26,8,7.8,7.6,522,上海市,121.7986613,31.15211274
啡厅,浦东新区,73,7.9,8,7.8,521,上海市,121.7986613,31.15211274
助餐,浦东新区,2,7.1,7.1,7,521,上海市,121.798636,31.15517209
美食,浦东新区,11,7.3,7.4,7.2,521,上海市,121.798636,31.15517209
啡厅,浦东新区,1,7.4,7.4,7.1,519,上海市,121.7984639,31.15199248
粤菜,浦东新区,379,8.3,8,7.9,519,上海市,121.798039,31.1513821
粤菜,浦东新区,223,8.1,8.4,7.8,519,上海市,121.798039,31.1513821
粤菜,浦东新区,41,7.6,8,7.5,519,上海市,121.798039,31.1513821
粤菜,浦东新区,47,6.6,6.8,6.8,519,上海市,121.798039,31.1513821
快餐,浦东新区,102,8.2,8.3,8.4,519,上海市,121.798039,31.1513821
快餐,浦东新区,237,7.8,7.5,7.6,517,上海市,121.798039,31.1513821
快餐,浦东新区,130,7.5,7.4,7.2,516,上海市,121.798039,31.1513821
快餐,浦东新区,159,7.3,7.3,7.2,515,上海市,121.798039,31.1513821
快餐,浦东新区,14,7,7,6.8,515,上海市,121.798039,31.1513821
快餐,浦东新区,8,7.4,7.2,7.4,513,上海市,121.798039,31.1513821
本菜,浦东新区,51,6.9,7.1,7.1,513,上海市,121.798039,31.1513821
料理,浦东新区,72,7.1,7.1,7.1,513,上海市,121.798039,31.1513821
西餐,浦东新区,114,7.4,7.4,7.2,513,上海市,121.798039,31.1513821
啡厅,浦东新区,35,7.6,7.3,7.2,513,上海市,121.798039,31.1513821
美食,浦东新区,111,6.1,6.5,5.9,512,上海市,121.798039,31.1513821
啡厅,浦东新区,35,7.6,7.3,7.2,512,上海市,121.798039,31.1513821
啡厅,浦东新区,136,7.5,7.7,7.3,512,上海市,121.798039,31.1513821
啡厅,浦东新区,28,7,7.1,7.2,511,上海市,121.798039,31.1513821
啡厅,浦东新区,34,6.8,6.9,6.8,511,上海市,121.798039,31.1513821
啡厅,浦东新区,173,7.4,7.6,7.6,511,上海市,121.798039,31.1513821
啡厅,黄浦区,8,7.4,7.5,7.4,511,上海市,121.798039,31.1513821
啡厅,浦东新区,5,6.9,6.8,6.9,511,上海市,121.798039,31.1513821
快餐,浦东新区,159,7.3,7.3,7.2,510,上海市,121.798039,31.1513821
甜点,浦东新区,23,7.7,7.7,7.7,510,上海市,121.7963783,31.05557055
美食,浦东新区,15,6.8,7.2,6.9,510,上海市,121.7952819,31.16285269
本菜,浦东新区,0,0,0,0,510,上海市,121.7951464,31.09338707
浙菜,浦东新区,76,7,7.5,7.3,509,上海市,121.7908784,31.17531655
助餐,浦东新区,1,7.4,7.4,7.4,509,上海市,121.7901122,31.17162531
粤菜,浦东新区,1,6.9,6.9,6.9,509,上海市,121.790002,31.17041477
美食,浦东新区,49,8.3,8.4,7.7,509,上海市,121.790002,31.17041477
美食,浦东新区,2,7.5,7.5,7.7,509,上海市,121.790002,31.17041477
快餐,松江区,1,6.8,7.4,7.1,508,上海市,121.7887527,30.91664788
助餐,浦东新区,2,7.3,7.3,7.3,508,上海市,121.7872268,30.93899751
浙菜,杨浦区,30,7,7,7.1,508,上海市,121.7841074,31.05126214
快餐,徐汇区,1,7,6.9,7,505,上海市,121.7822859,31.47988457
快餐,徐汇区,3,6.9,6.9,7.1,505,上海市,121.7822859,31.47988457
烧烤,浦东新区,0,0,0,0,505,上海市,121.7819026,31.04776835
料理,浦东新区,6,7.7,7.7,7.7,505,上海市,121.7813354,31.05082788
川菜,浦东新区,12,7,6.7,6.7,504,上海市,121.7813293,31.05099777
快餐,浦东新区,1,7,7,7,503,上海市,121.7811352,31.04805924
川菜,浦东新区,62,7.3,6.9,6.9,503,上海市,121.7810161,31.04779624
美食,浦东新区,28,7.1,7.3,7.2,502,上海市,121.7810161,31.04779624
快餐,浦东新区,3,7.4,7.4,7.4,502,上海市,121.780981,31.04805905
甜点,浦东新区,695,8.4,7.2,8.2,502,上海市,121.7808968,31.04805695
烧烤,浦东新区,44,6.9,6.7,6.8,502,上海市,121.7805278,31.05227106
烧烤,浦东新区,1,7,7,7,501,上海市,121.7805278,31.05227106
本菜,浦东新区,4,6.7,6.8,6.8,501,上海市,121.7803845,31.05274762
快餐,浦东新区,0,0,0,0,500,上海市,121.7802375,31.05052772
烧烤,浦东新区,123,6.9,6.9,7,499,上海市,121.7801825,31.04865574
料理,浦东新区,4,7.2,7,7.2,499,上海市,121.7801312,31.05111925
甜点,浦东新区,16,7.5,7.5,7.5,499,上海市,121.7801312,31.05111925
素菜,浦东新区,0,0,0,0,498,上海市,121.7797679,31.04806259
料理,浦东新区,0,0,0,0,496,上海市,121.7795683,31.05005221
料理,浦东新区,4,7,7,7,494,上海市,121.7795365,31.04785144
火锅,浦东新区,28,7.1,7.2,6.9,491,上海市,121.7791626,31.05086726
本菜,浦东新区,2,7.6,7.6,6.5,491,上海市,121.7791626,31.05086726
湾菜,浦东新区,0,0,0,0,491,上海市,121.7791285,31.02678123
烧烤,浦东新区,0,0,0,0,490,上海市,121.7791055,31.05067231
川菜,浦东新区,3,7,6.9,6.9,490,上海市,121.7789615,31.04783778
美食,浦东新区,16,7.4,7.7,7.7,489,上海市,121.7789615,31.04783778
烧烤,浦东新区,5,6.8,6.5,6.8,489,上海市,121.7789615,31.04783778
北菜,浦东新区,1,7.1,7.1,7.1,488,上海市,121.7789232,31.05097492
本菜,浦东新区,9,7.4,7.5,7.4,488,上海市,121.7788665,31.04626158
助餐,浦东新区,0,0,0,0,487,上海市,121.7774359,31.04799096
川菜,浦东新区,20,7.1,7,7,487,上海市,121.7772206,31.04705126
料理,浦东新区,0,0,0,0,487,上海市,121.7766524,31.05042769
啡厅,浦东新区,69,7.8,7.8,7.8,487,上海市,121.7765501,31.135392
北菜,浦东新区,1,6.9,6.9,6.7,487,上海市,121.776241,31.17839117
湘菜,浦东新区,0,0,0,0,487,上海市,121.774138,31.04381088
浙菜,浦东新区,85,7.1,7.3,7.1,485,上海市,121.7734354,31.05105898
浙菜,浦东新区,57,7.3,7.6,7.3,485,上海市,121.7733118,31.04365015
海鲜,浦东新区,9,7.4,7.3,7.3,484,上海市,121.7733118,31.04365015
常菜,浦东新区,0,0,0,0,484,上海市,121.772452,31.18109195
甜点,浦东新区,17,7.7,7.5,7.7,484,上海市,121.7720453,31.05079979
啡厅,浦东新区,26,8,8.2,8.3,484,上海市,121.7720453,31.05079979
粤菜,浦东新区,1475,7.6,8,8,484,上海市,121.771824,31.05109442
烧烤,浦东新区,42,7.3,7.5,7.3,484,上海市,121.771824,31.05109442
甜点,浦东新区,17,0,0,0,483,上海市,121.7712888,31.05590914
甜点,浦东新区,19,7.9,7.9,7.9,483,上海市,121.7705512,31.05076245
西餐,浦东新区,127,7.5,7.5,7.4,483,上海市,121.7702678,31.05106002
啡厅,浦东新区,35,7.3,7.4,7.4,483,上海市,121.7701206,31.05081104
浙菜,浦东新区,13,7,7,7,483,上海市,121.7700942,31.05507555
川菜,浦东新区,557,8,8,7.9,482,上海市,121.7698182,31.05110161
本菜,浦东新区,144,7.5,7.6,8.4,481,上海市,121.7694567,31.0510913
本菜,浦东新区,144,7.5,7.6,8.4,481,上海市,121.7694567,31.0510913
美食,浦东新区,1,7,7,7.2,480,上海市,121.7694407,31.05113826
疆菜,浦东新区,9,7.2,6.8,6.9,480,上海市,121.7694407,31.05113826
啡厅,浦东新区,14,7.5,7.6,7.7,479,上海市,121.7694217,31.05056557
美食,浦东新区,307,7.9,8.1,7.8,479,上海市,121.7693121,31.05548464
美食,浦东新区,307,7.9,8.1,7.8,479,上海市,121.7693121,31.05548464
本菜,浦东新区,6,6.8,7,6.7,479,上海市,121.7692879,31.04562432
常菜,浦东新区,0,0,0,0,478,上海市,121.7692879,31.04562432
美食,浦东新区,9,7.4,7.4,7.4,478,上海市,121.7692375,31.05062138
啡厅,浦东新区,5,7.6,7.6,7.6,478,上海市,121.7691483,31.05061331
啡厅,浦东新区,3,7.3,7.3,7.3,477,上海市,121.7691483,31.05061331
西餐,浦东新区,107,7.1,7.1,7.1,477,上海市,121.7690632,31.05110796
啡厅,浦东新区,0,0,0,0,477,上海市,121.7690512,31.0506632
粤菜,浦东新区,3400,7.6,7.8,7.4,476,上海市,121.7690181,31.05117388
快餐,浦东新区,136,7,6.9,6.8,475,上海市,121.7690181,31.05117388
火锅,浦东新区,224,8.6,8.7,8.4,475,上海市,121.7690051,31.05116388
本菜,浦东新区,0,0,0,0,475,上海市,121.7688429,31.05115375
湘菜,徐汇区,8,7.4,7.4,7.4,475,上海市,121.7684158,31.51870501
烧烤,徐汇区,3,7,6.8,6.9,475,上海市,121.7684158,31.51870501
浙菜,浦东新区,329,8,8,7.7,475,上海市,121.7678541,31.04562914
川菜,浦东新区,5,7.4,7.2,7,474,上海市,121.7675489,31.11477674
川菜,浦东新区,32,6.9,6.5,6.8,474,上海市,121.7674647,31.04415668
川菜,浦东新区,357,8.6,8.5,8,473,上海市,121.76735,31.05117652
火锅,浦东新区,2,7,7,6.5,472,上海市,121.7672078,31.05133432
烧烤,浦东新区,59,7.3,7.4,6.5,472,上海市,121.7672078,31.05133432
烧烤,浦东新区,9,6.9,6.9,6.8,469,上海市,121.7672078,31.05133432
料理,浦东新区,1,7,7,7,469,上海市,121.7670642,31.05607547
西餐,浦东新区,3,7.4,7.4,7.4,469,上海市,121.7670342,31.04324587
甜点,浦东新区,38,8.3,8.3,8.2,469,上海市,121.7670306,31.0506196
火锅,浦东新区,1454,8.4,8.3,8.4,468,上海市,121.7669765,31.05117224
海鲜,浦东新区,2,7.1,7.1,7.1,467,上海市,121.7668292,31.19466032
火锅,浦东新区,169,8.8,8.5,8.7,467,上海市,121.7667852,31.05122206
火锅,浦东新区,68,6.6,6.5,6.5,467,上海市,121.7667852,31.05122206
本菜,浦东新区,107,6.5,6.9,6.6,466,上海市,121.7667852,31.05122206
本菜,浦东新区,107,6.5,6.9,6.6,466,上海市,121.7667852,31.05122206
海鲜,浦东新区,751,7.7,7.6,7.8,465,上海市,121.7667382,31.05118305
火锅,浦东新区,21,8.3,8.3,8.4,465,上海市,121.7666781,31.051192
浙菜,浦东新区,29,7.3,7.6,7.5,465,上海市,121.7662669,31.21456021
海鲜,浦东新区,83,7.1,6.9,6.9,465,上海市,121.7662669,31.21456021
浙菜,浦东新区,296,7.6,7.7,7.8,465,上海市,121.7661314,31.05119858
浙菜,浦东新区,8,6.8,6.8,6.8,465,上海市,121.7661244,31.05131851
美食,浦东新区,217,7.9,7.4,7.4,465,上海市,121.76579,31.05120233
湘菜,浦东新区,101,7.6,7.8,7.5,465,上海市,121.765723,31.05120728
火锅,浦东新区,3749,8.9,8.9,8.7,464,上海市,121.7656298,31.05124119
火锅,浦东新区,3749,8.9,8.9,8.7,464,上海市,121.7656298,31.05124119
快餐,浦东新区,67,6.8,7.5,7,464,上海市,121.7655377,31.05121614
啡厅,浦东新区,32,7.3,7.4,7.3,463,上海市,121.7655107,31.05077437
川菜,浦东新区,2,7.1,7.1,7.1,463,上海市,121.7654771,31.04632792
湘菜,浦东新区,3,7.3,7.2,7.3,462,上海市,121.7654771,31.04632792
烧烤,浦东新区,340,7,7.1,7.1,459,上海市,121.7654146,31.05122205
烧烤,浦东新区,340,7,7.1,7.1,459,上海市,121.7654146,31.05122205
快餐,浦东新区,2,7.3,7.3,7.3,459,上海市,121.7653252,31.11448723
浙菜,浦东新区,16,7.1,7.5,7.2,456,上海市,121.7652384,30.97934412
浙菜,浦东新区,28,7.4,7.2,7.4,456,上海市,121.765184,31.19776458
烧烤,浦东新区,563,8.1,7.7,8.1,456,上海市,121.7651473,31.05124384
烧烤,浦东新区,2,7,6.8,7.2,455,上海市,121.7651473,31.05124384
美食,浦东新区,1,7.4,7.4,7.4,455,上海市,121.764959,31.05167046
火锅,浦东新区,164,8.2,8.1,8.5,455,上海市,121.7649571,31.05122072
火锅,浦东新区,792,7.3,7.4,7,455,上海市,121.764886,31.05126565
美食,浦东新区,2,7,7,7,455,上海市,121.7647855,31.04386486
川菜,浦东新区,44,7.2,7.1,7.3,455,上海市,121.7647435,31.11456078
快餐,浦东新区,114,8,7.8,7.9,455,上海市,121.7647318,31.05061991
快餐,浦东新区,114,8,7.8,7.9,454,上海市,121.7647318,31.05061991
火锅,浦东新区,408,7.7,8.4,8.1,453,上海市,121.7646367,31.05108858
火锅,浦东新区,408,7.7,8.4,8.1,453,上海市,121.7646367,31.05108858
快餐,浦东新区,1,7,6.9,7,452,上海市,121.7646284,31.11453671
烧烤,浦东新区,3,6.9,6.9,6.9,451,上海市,121.7644114,31.0519869
快餐,浦东新区,3,7,6.9,7,450,上海市,121.7643996,31.03687866
美食,浦东新区,16,6.9,6.9,6.9,450,上海市,121.7643971,31.05538493
疆菜,浦东新区,16,7.3,7.2,7.5,450,上海市,121.7643635,31.04966122
火锅,浦东新区,166,8.4,7.7,7.6,449,上海市,121.7643584,31.05122831
烧烤,浦东新区,134,6.9,7.2,6.6,449,上海市,121.7643584,31.05122831
快餐,浦东新区,1,7,7,7,449,上海市,121.7642194,31.13263258
快餐,浦东新区,25,7.5,7.2,7.3,449,上海市,121.7641928,31.04358562
浙菜,浦东新区,6,7,7,6.6,448,上海市,121.7641107,31.05564059
龙虾,浦东新区,0,0,0,0,448,上海市,121.7641087,31.04435112
川菜,浦东新区,3,7.4,7.1,7.3,447,上海市,121.764049,31.05155991
火锅,浦东新区,391,8,7.6,7.5,447,上海市,121.764049,31.05155991
啡厅,浦东新区,5,7.4,7.4,7.4,446,上海市,121.764049,31.05155991
烧烤,浦东新区,2,7.3,7.1,7.3,446,上海市,121.764049,31.05155991
粤菜,浦东新区,8,7.2,6.9,7.2,444,上海市,121.7639523,31.14131074
浙菜,嘉定区,1,7.2,7.2,7.2,444,上海市,121.7638687,31.19516496
甜点,浦东新区,45,7.4,7.5,7.4,444,上海市,121.7638307,31.05173566
川菜,浦东新区,15,7.4,7.4,7.4,444,上海市,121.7638188,31.05108803
甜点,浦东新区,49,7.3,7.4,7.3,443,上海市,121.7638137,31.05126292
火锅,浦东新区,119,7,6.8,6.7,443,上海市,121.7638078,31.05063228
海鲜,浦东新区,118,7.1,7.1,7,443,上海市,121.7637751,31.21256142
甜点,浦东新区,665,8,8.2,7.9,443,上海市,121.7637647,31.05170263
亚菜,浦东新区,0,0,0,0,442,上海市,121.7637404,31.11433123
快餐,浦东新区,10,6.6,6.8,6.8,442,上海市,121.763699,31.04712724
龙虾,浦东新区,1,7,7,7,441,上海市,121.7636939,31.03628554
湘菜,浦东新区,0,0,0,0,440,上海市,121.7636837,31.05039734
烧烤,浦东新区,0,0,0,0,437,上海市,121.7636837,31.05039734
西餐,浦东新区,196,7.6,7.5,7.6,437,上海市,121.7634814,31.0504062
西餐,浦东新区,196,7.6,7.5,7.6,437,上海市,121.7634814,31.0504062
甜点,浦东新区,47,7.2,7,6.9,436,上海市,121.7634223,31.05173139
火锅,浦东新区,54,7.1,7.1,7.3,436,上海市,121.763375,31.11372832
烧烤,浦东新区,3,7.4,7,7.1,436,上海市,121.7633634,31.03740367
美食,浦东新区,11,6.8,6.7,7,435,上海市,121.7631958,31.11420395
